Human	Chimpanzee	Gorilla	Orangutan	Macaque	Mouse	Opossum	Platypus	Chicken
ENSG00000197872:5118	ENSPTRG00000011673:3936	ENSGGOG00000001230:3832	ENSPPYG00000012634:4010	ENSMMUG00000020385:1445	ENSMUSG00000020589:1447	ENSMODG00000003362:972	ENSOANG00000005640:991	ENSGALG00000016463:3236
ENSG00000118523:2339	ENSPTRG00000018605:2337	ENSGGOG00000026479:2136	ENSPPYG00000017011:1050	ENSMMUG00000014150:762	ENSMUSG00000019997:2403	ENSMODG00000017558:1075	ENSOANG00000010189:1701	ENSGALG00000002909:1075
ENSG00000079819:6042	ENSPTRG00000018597:4466	ENSGGOG00000008512:4317	ENSPPYG00000017005:4430	ENSMMUG00000007758:4900	ENSMUSG00000019978:5269	ENSMODG00000017602:4609	ENSOANG00000010197:3057	ENSGALG00000014004:2603
ENSG00000183775:1287	ENSPTRG00000017366:1287	ENSGGOG00000012018:1287	ENSPPYG00000015903:1287	ENSMMUG00000029791:1287	ENSMUSG00000051401:1284	ENSMODG00000023742:1281	ENSOANG00000005749:1284	ENSGALG00000012322:1281
ENSG00000134352:9114	ENSPTRG00000016887:3026	ENSGGOG00000003727:1896	ENSPPYG00000015475:2757	ENSMMUG00000001893:5262	ENSMUSG00000021756:5394	ENSMODG00000019517:2852	ENSOANG00000005447:2450	ENSGALG00000014716:2821
ENSG00000132793:4366	ENSPTRG00000013502:4356	ENSGGOG00000013110:1740	ENSPPYG00000011013:4668	ENSMMUG00000004251:2553	ENSMUSG00000027412:3615	ENSMODG00000000676:4342	ENSOANG00000014349:3066	ENSGALG00000003780:579
ENSG00000188921:4161	ENSPTRG00000020810:1373	ENSGGOG00000016141:1412	ENSPPYG00000019186:699	ENSMMUG00000019068:831	ENSMUSG00000028497:6756	ENSMODG00000003655:693	ENSOANG00000007467:1199	ENSGALG00000015063:651
ENSG00000163512:5704	ENSPTRG00000014707:3148	ENSGGOG00000022881:3386	ENSPPYG00000014053:2000	ENSMMUG00000000056:1243	ENSMUSG00000039285:4982	ENSMODG00000015075:1230	ENSOANG00000010528:1266	ENSGALG00000011428:1514
ENSG00000147852:3637	ENSPTRG00000020732:3295	ENSGGOG00000001362:3318	ENSPPYG00000019257:3236	ENSMMUG00000015093:3984	ENSMUSG00000024924:3132	ENSMODG00000003620:2719	ENSOANG00000014993:2475	ENSGALG00000010166:3287
ENSG00000153113:5214	ENSPTRG00000017093:4478	ENSGGOG00000009283:4636	ENSPPYG00000015649:4875	ENSMMUG00000002062:3611	ENSMUSG00000021585:3191	ENSMODG00000020075:1228	ENSOANG00000001211:2256	ENSGALG00000014682:2867
ENSG00000163686:2863	ENSPTRG00000015056:2009	ENSGGOG00000015826:2053	ENSPPYG00000013763:2349	ENSMMUG00000006315:2355	ENSMUSG00000025277:1331	ENSMODG00000002333:1008	ENSOANG00000011631:954	ENSGALG00000005696:1608
ENSG00000171310:1654	ENSPTRG00000005379:1654	ENSGGOG00000016823:1437	ENSPPYG00000004894:1059	ENSMMUG00000017127:1785	ENSMUSG00000034612:5511	ENSMODG00000002117:1097	ENSOANG00000005545:1041	ENSGALG00000012698:968
ENSG00000123685:980	ENSPTRG00000001965:2357	ENSGGOG00000023446:731	ENSPPYG00000000234:384	ENSMMUG00000015056:970	ENSMUSG00000026630:712	ENSMODG00000003055:387	ENSOANG00000008505:300	ENSGALG00000009816:372
ENSG00000102935:4817	ENSPTRG00000008099:4814	ENSGGOG00000016641:4487	ENSPPYG00000007334:4515	ENSMMUG00000021261:3333	ENSMUSG00000045333:4912	ENSMODG00000012988:3529	ENSOANG00000000584:3618	ENSGALG00000003891:3516
ENSG00000177108:3408	ENSPTRG00000006573:483	ENSGGOG00000010146:525	ENSPPYG00000006017:483	ENSMMUG00000007561:480	ENSMUSG00000048483:1208	ENSMODG00000005513:408	ENSOANG00000010594:816	ENSGALG00000023099:828
ENSG00000115593:4437	ENSPTRG00000012168:1305	ENSGGOG00000009513:1471	ENSPPYG00000012205:2163	ENSMMUG00000008055:1473	ENSMUSG00000055027:3469	ENSMODG00000009578:1473	ENSOANG00000010353:1473	ENSGALG00000015935:2081
ENSG00000095951:10975	ENSPTRG00000017729:8906	ENSGGOG00000016169:8897	ENSPPYG00000016236:8118	ENSMMUG00000008560:2657	ENSMUSG00000021366:8753	ENSMODG00000010547:6753	ENSOANG00000007196:8108	ENSGALG00000012739:7998
ENSG00000134256:3551	ENSPTRG00000001160:3132	ENSGGOG00000008209:3161	ENSPPYG00000000977:3066	ENSMMUG00000016904:3066	ENSMUSG00000086564:3237	ENSMODG00000005103:2718	ENSOANG00000014828:1653	ENSGALG00000015467:2763
ENSG00000149100:1235	ENSPTRG00000003478:1450	ENSGGOG00000002796:1430	ENSPPYG00000003381:3865	ENSMMUG00000009026:1275	ENSMUSG00000027170:1283	ENSMODG00000009678:1220	ENSOANG00000015146:1196	ENSGALG00000012109:1473
ENSG00000136802:4763	ENSPTRG00000021443:4297	ENSGGOG00000017010:4621	ENSPPYG00000019666:2433	ENSMMUG00000017799:3296	ENSMUSG00000007476:4308	ENSMODG00000006491:2452	ENSOANG00000014621:2391	ENSGALG00000004573:2656
ENSG00000136044:3230	ENSPTRG00000005384:3248	ENSGGOG00000013151:3203	ENSPPYG00000004900:1728	ENSMMUG00000009524:2072	ENSMUSG00000020263:3020	ENSMODG00000001978:1748	ENSOANG00000005542:3535	ENSGALG00000012665:2553
ENSG00000186866:5238	ENSPTRG00000014001:3083	ENSGGOG00000015065:1336	ENSPPYG00000011516:1290	ENSMMUG00000010700:1329	ENSMUSG00000020260:2197	ENSMODG00000019655:1263	ENSOANG00000012784:1260	ENSGALG00000006141:2061
ENSG00000174498:4479	ENSPTRG00000007179:4483	ENSGGOG00000010452:2671	ENSPPYG00000006566:2430	ENSMMUG00000021783:3156	ENSMUSG00000032394:3226	ENSMODG00000010271:2316	ENSOANG00000012253:1221	ENSGALG00000007371:3114
ENSG00000171453:1705	ENSPTRG00000018202:1427	ENSGGOG00000010903:1300	ENSPPYG00000016645:1041	ENSMMUG00000015192:1232	ENSMUSG00000067148:1398	ENSMODG00000018964:975	ENSOANG00000003043:1111	ENSGALG00000010349:1235
ENSG00000156875:2943	ENSPTRG00000000999:2122	ENSGGOG00000000908:2122	ENSPPYG00000001122:1473	ENSMMUG00000004238:2757	ENSMUSG00000027957:8836	ENSMODG00000003687:1536	ENSOANG00000012059:2510	ENSGALG00000005329:1989
ENSG00000104064:3264	ENSPTRG00000007064:2839	ENSGGOG00000007783:2102	ENSPPYG00000006468:2602	ENSMMUG00000002879:1188	ENSMUSG00000027361:7752	ENSMODG00000002253:1426	ENSOANG00000006878:1188	ENSGALG00000023440:4251
ENSG00000106018:5058	ENSPTRG00000019929:1473	ENSGGOG00000007385:1675	ENSPPYG00000018236:1263	ENSMMUG00000009611:1653	ENSMUSG00000011171:2501	ENSMODG00000005472:1314	ENSOANG00000006114:1320	ENSGALG00000006575:1943
ENSG00000064652:2213	ENSPTRG00000017178:1545	ENSGGOG00000011673:690	ENSPPYG00000015719:1437	ENSMMUG00000010650:2001	ENSMUSG00000024535:994	ENSMODG00000013427:523	ENSOANG00000010049:456	ENSGALG00000018874:507
ENSG00000169297:2203	ENSPTRG00000021767:1570	ENSGGOG00000002391:2013	ENSPPYG00000020216:1413	ENSMMUG00000012775:1535	ENSMUSG00000025056:1808	ENSMODG00000007072:732	ENSOANG00000010905:525	ENSGALG00000016287:1125
ENSG00000124783:11181	ENSPTRG00000017698:3244	ENSGGOG00000004566:3283	ENSPPYG00000016205:2479	ENSMMUG00000002147:3246	ENSMUSG00000021427:2477	ENSMODG00000009918:1244	ENSOANG00000014818:1365	ENSGALG00000012798:1646
ENSG00000163636:1620	ENSPTRG00000015078:1484	ENSGGOG00000004430:1495	ENSPPYG00000013743:1170	ENSMMUG00000001509:2082	ENSMUSG00000021737:1377	ENSMODG00000003074:1008	ENSOANG00000002041:2741	ENSGALG00000007315:1450
ENSG00000137076:9656	ENSPTRG00000020917:7638	ENSGGOG00000007440:4326	ENSPPYG00000019088:8409	ENSMMUG00000031856:8038	ENSMUSG00000028465:8473	ENSMODG00000007430:7629	ENSOANG00000007148:7272	ENSGALG00000002548:8141
ENSG00000148584:2383	ENSPTRG00000002508:2263	ENSGGOG00000009670:1943	ENSPPYG00000002819:5595	ENSMMUG00000007077:2070	ENSMUSG00000052595:3828	ENSMODG00000016478:1833	ENSOANG00000007360:1333	ENSGALG00000003765:1620
ENSG00000166797:1122	ENSPTRG00000007153:1105	ENSGGOG00000016550:1088	ENSPPYG00000006544:486	ENSMMUG00000014004:477	ENSMUSG00000032381:1240	ENSMODG00000010909:563	ENSOANG00000009232:747	ENSGALG00000008170:4097
ENSG00000114446:3301	ENSPTRG00000015189:3037	ENSGGOG00000006807:1290	ENSPPYG00000013576:1290	ENSMMUG00000008786:3076	ENSMUSG00000032965:2862	ENSMODG00000018047:1305	ENSOANG00000007495:1182	ENSGALG00000015356:1608
ENSG00000198055:3061	ENSPTRG00000017584:1725	ENSGGOG00000009669:2951	ENSPPYG00000016092:2946	ENSMMUG00000019817:3052	ENSMUSG00000074886:3211	ENSMODG00000004602:1782	ENSOANG00000010127:1741	ENSGALG00000014054:2107
ENSG00000067955:3136	ENSPTRG00000008213:2722	ENSGGOG00000008282:1269	ENSPPYG00000007437:486	ENSMMUG00000018101:725	ENSMUSG00000031885:2911	ENSMODG00000006352:723	ENSOANG00000014469:332	ENSGALG00000003169:980
ENSG00000163328:6939	ENSPTRG00000012655:2508	ENSGGOG00000004876:2839	ENSPPYG00000012947:2905	ENSMMUG00000021012:2807	ENSMUSG00000041762:5367	ENSMODG00000009362:2616	ENSOANG00000008605:3555	ENSGALG00000014209:2670
ENSG00000197429:3306	ENSPTRG00000024149:3131	ENSGGOG00000013338:1530	ENSPPYG00000001404:1602	ENSMMUG00000001831:3104	ENSMUSG00000028696:2126	ENSMODG00000002208:2231	ENSOANG00000011788:1770	ENSGALG00000010287:1882
ENSG00000197798:1751	ENSPTRG00000023950:1751	ENSGGOG00000016504:1864	ENSPPYG00000004044:1056	ENSMMUG00000007935:1947	ENSMUSG00000050471:2107	ENSMODG00000004550:1050	ENSOANG00000012121:570	ENSGALG00000001070:1496
ENSG00000182134:3861	ENSPTRG00000001297:2838	ENSGGOG00000025419:2528	ENSPPYG00000000855:1686	ENSMMUG00000009096:2527	ENSMUSG00000041912:2642	ENSMODG00000018906:1710	ENSOANG00000001094:1098	ENSGALG00000024012:1101
ENSG00000170485:4188	ENSPTRG00000012287:3718	ENSGGOG00000006420:3971	ENSPPYG00000012101:2496	ENSMMUG00000009871:3687	ENSMUSG00000026077:3194	ENSMODG00000001691:2481	ENSOANG00000002626:1890	ENSGALG00000016774:2580
ENSG00000036054:3992	ENSPTRG00000015160:3682	ENSGGOG00000014841:2125	ENSPPYG00000013605:4102	ENSMMUG00000020026:3667	ENSMUSG00000022749:3648	ENSMODG00000002218:2129	ENSOANG00000007527:2164	ENSGALG00000015273:3666
ENSG00000157741:16681	ENSPTRG00000019753:14202	ENSGGOG00000004517:4466	ENSPPYG00000018046:3795	ENSMMUG00000002277:4232	ENSMUSG00000038538:4499	ENSMODG00000013755:2664	ENSOANG00000011084:3558	ENSGALG00000011854:4320
ENSG00000113749:4057	ENSPTRG00000017551:2678	ENSGGOG00000010675:2556	ENSPPYG00000016150:1198	ENSMMUG00000014245:1197	ENSMUSG00000034987:2789	ENSMODG00000005373:993	ENSOANG00000009335:900	ENSGALG00000024171:1095
ENSG00000139146:3166	ENSPTRG00000004809:2967	ENSGGOG00000015484:791	ENSPPYG00000004396:2956	ENSMMUG00000009155:791	ENSMUSG00000039985:3302	ENSMODG00000012646:335	ENSOANG00000022479:594	ENSGALG00000012946:3067
ENSG00000089847:4362	ENSPTRG00000010297:2805	ENSGGOG00000013418:3360	ENSPPYG00000009397:2574	ENSMMUG00000028928:2586	ENSMUSG00000054708:5457	ENSMODG00000000832:807	ENSOANG00000001756:1059	ENSGALG00000001235:2846
ENSG00000130338:11123	ENSPTRG00000018743:11036	ENSGGOG00000012077:9504	ENSPPYG00000017133:5149	ENSMMUG00000019448:5138	ENSMUSG00000034377:10343	ENSMODG00000007674:4623	ENSOANG00000013897:3324	ENSGALG00000013736:2832
ENSG00000183520:2019	ENSPTRG00000000561:1017	ENSGGOG00000022705:1017	ENSPPYG00000001517:1705	ENSMMUG00000020834:1005	ENSMUSG00000028907:1603	ENSMODG00000017717:762	ENSOANG00000002476:775	ENSGALG00000001502:985
ENSG00000117643:5326	ENSPTRG00000000363:2336	ENSGGOG00000011458:2940	ENSPPYG00000001707:2549	ENSMMUG00000004788:1904	ENSMUSG00000037306:4715	ENSMODG00000013999:2108	ENSOANG00000015845:1320	ENSGALG00000001038:2199
ENSG00000124198:8852	ENSPTRG00000013597:8828	ENSGGOG00000001414:8722	ENSPPYG00000011109:5283	ENSMMUG00000019635:8100	ENSMUSG00000074582:8770	ENSMODG00000016267:5565	ENSOANG00000006403:5471	ENSGALG00000004663:5441
ENSG00000057663:3364	ENSPTRG00000018458:3230	ENSGGOG00000016633:3227	ENSPPYG00000016880:2457	ENSMMUG00000019679:3315	ENSMUSG00000038160:2364	ENSMODG00000018027:829	ENSOANG00000003900:591	ENSGALG00000015387:1803
ENSG00000091317:3863	ENSPTRG00000014720:3748	ENSGGOG00000012632:3775	ENSPPYG00000014040:556	ENSMMUG00000001443:1897	ENSMUSG00000032434:3330	ENSMODG00000015198:534	ENSOANG00000002275:402	ENSGALG00000011490:829
ENSG00000180815:5222	ENSPTRG00000022605:2657	ENSGGOG00000008317:3249	ENSPPYG00000020172:3447	ENSMMUG00000017339:2355	ENSMUSG00000031303:4348	ENSMODG00000009020:2229	ENSOANG00000004027:3991	ENSGALG00000016426:3621
ENSG00000003056:2442	ENSPTRG00000004648:2445	ENSGGOG00000010747:2438	ENSPPYG00000004247:2455	ENSMMUG00000017846:2437	ENSMUSG00000007458:2539	ENSMODG00000017991:847	ENSOANG00000001573:585	ENSGALG00000014256:2500
ENSG00000173868:2173	ENSPTRG00000009372:1151	ENSGGOG00000001957:2163	ENSPPYG00000008917:804	ENSMMUG00000002436:1102	ENSMUSG00000050860:2151	ENSMODG00000012217:807	ENSOANG00000004675:774	ENSGALG00000001281:977
ENSG00000178297:3305	ENSPTRG00000010236:3302	ENSGGOG00000003452:2961	ENSPPYG00000009351:3042	ENSMMUG00000001190:2875	ENSMUSG00000059406:3893	ENSMODG00000004782:2967	ENSOANG00000009199:3645	ENSGALG00000000458:2952
ENSG00000144712:5167	ENSPTRG00000014637:4228	ENSGGOG00000001004:4595	ENSPPYG00000013390:4151	ENSMMUG00000001339:4172	ENSMUSG00000030319:4810	ENSMODG00000006377:3648	ENSOANG00000003781:3483	ENSGALG00000008420:4141
ENSG00000164045:3821	ENSPTRG00000014879:3637	ENSGGOG00000003912:1592	ENSPPYG00000013912:3711	ENSMMUG00000020954:1575	ENSMUSG00000032477:3625	ENSMODG00000014306:1570	ENSOANG00000015721:1296	ENSGALG00000004934:1886
ENSG00000163781:5345	ENSPTRG00000015410:5298	ENSGGOG00000007648:5179	ENSPPYG00000014112:4584	ENSMMUG00000000059:5323	ENSMUSG00000032555:5228	ENSMODG00000011537:4629	ENSOANG00000006784:4921	ENSGALG00000011725:1748
ENSG00000118308:2808	ENSPTRG00000004773:2808	ENSGGOG00000003082:2062	ENSPPYG00000005175:1488	ENSMMUG00000015374:1482	ENSMUSG00000030263:2517	ENSMODG00000017472:1125	ENSOANG00000020850:603	ENSGALG00000014011:1834
ENSG00000183780:3195	ENSPTRG00000002121:3034	ENSGGOG00000012235:1188	ENSPPYG00000000104:2495	ENSMMUG00000006226:2564	ENSMUSG00000057060:2309	ENSMODG00000008526:1266	ENSOANG00000002914:855	ENSGALG00000011003:1185
ENSG00000130700:2595	ENSPTRG00000013711:2595	ENSGGOG00000000120:1285	ENSPPYG00000011208:1191	ENSMMUG00000017584:882	ENSMUSG00000015627:3277	ENSMODG00000016774:1197	ENSOANG00000004981:1237	ENSGALG00000005352:1799
ENSG00000111817:4399	ENSPTRG00000018529:4012	ENSGGOG00000026746:3397	ENSPPYG00000016948:2877	ENSMMUG00000007409:4097	ENSMUSG00000039497:4391	ENSMODG00000017846:2946	ENSOANG00000002200:2499	ENSGALG00000014963:2880
ENSG00000164338:3663	ENSPTRG00000016982:3661	ENSGGOG00000003301:1892	ENSPPYG00000015550:1558	ENSMMUG00000023514:1890	ENSMUSG00000041747:4071	ENSMODG00000001789:1461	ENSOANG00000008695:1434	ENSGALG00000013510:2073
ENSG00000175318:3291	ENSPTRG00000007245:3263	ENSGGOG00000005059:3281	ENSPPYG00000006612:3262	ENSMMUG00000018756:1023	ENSMUSG00000074259:4083	ENSMODG00000001901:945	ENSOANG00000020568:324	ENSGALG00000002000:1156
ENSG00000124664:1895	ENSPTRG00000018065:1896	ENSGGOG00000000383:1896	ENSPPYG00000016518:948	ENSMMUG00000007812:915	ENSMUSG00000024215:2071	ENSMODG00000013916:990	ENSOANG00000008044:985	ENSGALG00000002792:879
ENSG00000173626:2757	ENSPTRG00000018533:570	ENSGGOG00000017142:2383	ENSPPYG00000016950:2289	ENSMMUG00000007413:546	ENSMUSG00000071340:1183	ENSMODG00000023338:543	ENSOANG00000006297:522	ENSGALG00000014959:1091
ENSG00000177791:1541	ENSPTRG00000002633:1539	ENSGGOG00000024324:1539	ENSPPYG00000002334:1263	ENSMMUG00000013696:1546	ENSMUSG00000068697:1243	ENSMODG00000000272:1060	ENSOANG00000014156:540	ENSGALG00000005226:955
ENSG00000163138:2303	ENSPTRG00000015945:1297	ENSGGOG00000012603:609	ENSPPYG00000014634:747	ENSMMUG00000017670:1652	ENSMUSG00000029089:1564	ENSMODG00000000641:747	ENSOANG00000006671:552	ENSGALG00000014406:1185
ENSG00000157837:3423	ENSPTRG00000005548:2164	ENSGGOG00000016245:2901	ENSPPYG00000005041:2897	ENSMMUG00000020650:3285	ENSMUSG00000029550:3228	ENSMODG00000002983:1196	ENSOANG00000015556:997	ENSGALG00000006979:1756
ENSG00000145439:3545	ENSPTRG00000016585:3440	ENSGGOG00000024424:3226	ENSPPYG00000015188:714	ENSMMUG00000015921:953	ENSMUSG00000031641:1205	ENSMODG00000002852:719	ENSOANG00000007445:693	ENSGALG00000009714:960
ENSG00000162542:3145	ENSPTRG00000000272:2924	ENSGGOG00000005281:2901	ENSPPYG00000001784:1743	ENSMMUG00000002492:2889	ENSMUSG00000041143:3340	ENSMODG00000015900:1269	ENSOANG00000015339:1758	ENSGALG00000004081:1649
ENSG00000107672:1745	ENSPTRG00000003006:1471	ENSGGOG00000010663:771	ENSPPYG00000002712:1334	ENSMMUG00000012044:1493	ENSMUSG00000040331:1396	ENSMODG00000008405:1139	ENSOANG00000002087:1304	ENSGALG00000009504:1259
ENSG00000146411:4468	ENSPTRG00000018625:5568	ENSGGOG00000013187:5580	ENSPPYG00000017024:1779	ENSMMUG00000022921:1740	ENSMUSG00000037490:4047	ENSMODG00000017512:1878	ENSOANG00000013096:1782	ENSGALG00000013980:1876
ENSG00000100418:3833	ENSPTRG00000014433:906	ENSGGOG00000015877:808	ENSPPYG00000011875:507	ENSMMUG00000001855:907	ENSMUSG00000022472:2965	ENSMODG00000016577:756	ENSOANG00000009289:504	ENSGALG00000011934:968
ENSG00000104880:5875	ENSPTRG00000010387:5630	ENSGGOG00000004730:3396	ENSPPYG00000009473:2799	ENSMMUG00000008406:3603	ENSMUSG00000004568:5393	ENSMODG00000015139:3528	ENSOANG00000009603:3483	ENSGALG00000003572:3586
ENSG00000154310:7433	ENSPTRG00000015624:5747	ENSGGOG00000007526:5300	ENSPPYG00000014296:4104	ENSMMUG00000022262:5771	ENSMUSG00000027692:5249	ENSMODG00000015989:4933	ENSOANG00000012684:4243	ENSGALG00000009298:4239
ENSG00000065328:4644	ENSPTRG00000023150:3157	ENSGGOG00000014159:2738	ENSPPYG00000002096:2932	ENSMMUG00000005602:2741	ENSMUSG00000026669:4954	ENSMODG00000016851:2693	ENSOANG00000000173:2727	ENSGALG00000005870:2966
ENSG00000112053:3873	ENSPTRG00000018095:3391	ENSGGOG00000013580:2916	ENSPPYG00000016538:3115	ENSMMUG00000008442:2893	ENSMUSG00000036196:4173	ENSMODG00000013715:2046	ENSOANG00000009985:1650	ENSGALG00000000844:2462
ENSG00000204291:5491	ENSPTRG00000029189:4460	ENSGGOG00000001022:4581	ENSPPYG00000019438:4167	ENSMMUG00000011582:5186	ENSMUSG00000028339:6042	ENSMODG00000012718:369	ENSOANG00000014876:4376	ENSGALG00000012616:3886
ENSG00000034713:1002	ENSPTRG00000008362:1007	ENSGGOG00000012299:993	ENSPPYG00000007565:354	ENSMMUG00000005759:995	ENSMUSG00000031950:1677	ENSMODG00000002186:644	ENSOANG00000008177:881	ENSGALG00000003208:1123
ENSG00000112167:2279	ENSPTRG00000018132:1983	ENSGGOG00000016020:1974	ENSPPYG00000016573:552	ENSMMUG00000015747:2205	ENSMUSG00000045107:2206	ENSMODG00000013170:279	ENSOANG00000013161:210	ENSGALG00000010070:951
ENSG00000138758:5554	ENSPTRG00000016192:5551	ENSGGOG00000015115:5800	ENSPPYG00000014864:2638	ENSMMUG00000019901:2743	ENSMUSG00000058013:1851	ENSMODG00000011825:1477	ENSOANG00000013643:1293	ENSGALG00000011476:1768
ENSG00000136986:3161	ENSPTRG00000020546:1167	ENSGGOG00000008910:3182	ENSPPYG00000018852:606	ENSMMUG00000013516:3039	ENSMUSG00000022365:3145	ENSMODG00000002179:759	ENSOANG00000000512:1054	ENSGALG00000016386:3387
ENSG00000091009:6538	ENSPTRG00000017373:3728	ENSGGOG00000013312:6531	ENSPPYG00000015909:3183	ENSMMUG00000004476:6558	ENSMUSG00000024491:6227	ENSMODG00000010182:3601	ENSOANG00000012563:3251	ENSGALG00000007516:3341
ENSG00000075391:10008	ENSPTRG00000001717:5098	ENSGGOG00000001070:10070	ENSPPYG00000000473:5015	ENSMMUG00000021073:4784	ENSMUSG00000070565:6073	ENSMODG00000005974:3750	ENSOANG00000000953:3898	ENSGALG00000004323:3639
ENSG00000185760:7590	ENSPTRG00000018339:2896	ENSGGOG00000011406:2908	ENSPPYG00000016769:2841	ENSMMUG00000015320:3336	ENSMUSG00000028033:7118	ENSMODG00000018548:2445	ENSOANG00000001510:336	ENSGALG00000015932:2385
ENSG00000181090:5491	ENSPTRG00000021607:4631	ENSGGOG00000004616:5050	ENSPPYG00000019837:3804	ENSMMUG00000019613:3338	ENSMUSG00000036893:5131	ENSMODG00000017113:3450	ENSOANG00000009970:3699	ENSGALG00000008472:4618
ENSG00000170876:3342	ENSPTRG00000014648:3248	ENSGGOG00000016577:3233	ENSPPYG00000013400:2139	ENSMMUG00000023124:1460	ENSMUSG00000030095:2899	ENSMODG00000007313:1203	ENSOANG00000002492:684	ENSGALG00000006345:1467
ENSG00000160179:4616	ENSPTRG00000013937:3771	ENSGGOG00000014667:2837	ENSPPYG00000011448:2859	ENSMMUG00000018058:3046	ENSMUSG00000024030:3610	ENSMODG00000021016:2031	ENSOANG00000006449:2040	ENSGALG00000016164:2039
ENSG00000147526:8040	ENSPTRG00000020178:7776	ENSGGOG00000011078:2818	ENSPPYG00000018528:2538	ENSMMUG00000010152:5151	ENSMUSG00000065954:7695	ENSMODG00000010620:2513	ENSOANG00000007613:2193	ENSGALG00000024103:3245
ENSG00000073756:4514	ENSPTRG00000001786:4465	ENSGGOG00000027916:4498	ENSPPYG00000000408:1815	ENSMMUG00000016857:3378	ENSMUSG00000032487:4143	ENSMODG00000011721:1870	ENSOANG00000001026:1845	ENSGALG00000005069:4098
ENSG00000198853:5682	ENSPTRG00000020909:4893	ENSGGOG00000009017:5642	ENSPPYG00000019097:5290	ENSMMUG00000016313:4970	ENSMUSG00000035969:6363	ENSMODG00000007573:4516	ENSOANG00000003452:4862	ENSGALG00000002371:4973
ENSG00000162458:4378	ENSPTRG00000000208:3368	ENSGGOG00000015190:1430	ENSPPYG00000001837:1014	ENSMMUG00000032243:2099	ENSMUSG00000006219:3964	ENSMODG00000003421:1084	ENSOANG00000022612:905	ENSGALG00000003636:1546
ENSG00000115942:4641	ENSPTRG00000012795:3120	ENSGGOG00000014070:1716	ENSPPYG00000013064:3073	ENSMMUG00000014460:2766	ENSMUSG00000026037:3561	ENSMODG00000015068:1812	ENSOANG00000010096:1200	ENSGALG00000008234:2822
ENSG00000138311:7876	ENSPTRG00000002537:6779	ENSGGOG00000013216:4243	ENSPPYG00000002415:3997	ENSMMUG00000010254:4628	ENSMUSG00000037855:4390	ENSMODG00000017107:1260	ENSOANG00000015263:1212	ENSGALG00000002967:1158
ENSG00000153140:2432	ENSPTRG00000017066:979	ENSGGOG00000009598:985	ENSPPYG00000015622:504	ENSMMUG00000020180:947	ENSMUSG00000021537:811	ENSMODG00000020222:543	ENSOANG00000011075:917	ENSGALG00000014648:914
ENSG00000197323:8411	ENSPTRG00000001133:8340	ENSGGOG00000016429:7367	ENSPPYG00000001001:8263	ENSMMUG00000014620:3469	ENSMUSG00000033014:8868	ENSMODG00000000443:3197	ENSOANG00000004514:3288	ENSGALG00000001976:3332
ENSG00000167291:3355	ENSPTRG00000009733:3329	ENSGGOG00000001395:3218	ENSPPYG00000008711:5240	ENSMMUG00000020840:5668	ENSMUSG00000039976:7119	ENSMODG00000002161:2328	ENSOANG00000005235:2142	ENSGALG00000007054:2401
ENSG00000104883:1062	ENSPTRG00000010388:1062	ENSGGOG00000004741:1062	ENSPPYG00000009474:726	ENSMMUG00000008409:1112	ENSMUSG00000069633:3397	ENSMODG00000015117:714	ENSOANG00000013450:1048	ENSGALG00000003561:1619
ENSG00000161217:6767	ENSPTRG00000015776:1751	ENSGGOG00000001988:1254	ENSPPYG00000014437:1104	ENSMMUG00000022675:396	ENSMUSG00000005615:5001	ENSMODG00000018432:1095	ENSOANG00000000419:885	ENSGALG00000007474:1462
ENSG00000139835:1944	ENSPTRG00000006056:1519	ENSGGOG00000003049:981	ENSPPYG00000005525:1065	ENSMMUG00000009791:756	ENSMUSG00000038515:3064	ENSMODG00000003875:1095	ENSOANG00000015634:1071	ENSGALG00000016828:1020
ENSG00000157191:2102	ENSPTRG00000000228:1997	ENSGGOG00000014082:2079	ENSPPYG00000001819:792	ENSMMUG00000019940:2017	ENSMUSG00000028923:1906	ENSMODG00000003106:910	ENSOANG00000002102:399	ENSGALG00000003745:1950
ENSG00000135723:3990	ENSPTRG00000008223:3744	ENSGGOG00000010001:3796	ENSPPYG00000007449:3489	ENSMMUG00000018111:3796	ENSMUSG00000014778:3928	ENSMODG00000006046:4478	ENSOANG00000015194:3993	ENSGALG00000002198:3665
ENSG00000134697:2334	ENSPTRG00000000549:2320	ENSGGOG00000007704:2233	ENSPPYG00000001529:2346	ENSMMUG00000008419:2199	ENSMUSG00000028869:2679	ENSMODG00000017773:2169	ENSOANG00000002057:2151	ENSGALG00000001973:2259
ENSG00000134343:6642	ENSPTRG00000003449:6642	ENSGGOG00000011156:2685	ENSPPYG00000003411:2847	ENSMMUG00000012924:6460	ENSMUSG00000074968:7218	ENSMODG00000009376:2497	ENSOANG00000013130:1383	ENSGALG00000013311:2959
ENSG00000169508:1700	ENSPTRG00000005996:1729	ENSGGOG00000000721:1779	ENSPPYG00000005467:1086	ENSMMUG00000012338:1702	ENSMUSG00000051212:2552	ENSMODG00000007873:1205	ENSOANG00000014660:1101	ENSGALG00000016881:1074
ENSG00000171016:8668	ENSPTRG00000007100:2546	ENSGGOG00000026553:2711	ENSPPYG00000006499:1209	ENSMMUG00000004652:1260	ENSMUSG00000034910:7916	ENSMODG00000008062:1212	ENSOANG00000008537:1212	ENSGALG00000004369:1798
